iter	Passed	Remaining
0	48	48787
1	50	25043
2	51	17022
3	52	12982
4	52	10532
5	53	8891
6	54	7735
7	55	6860
8	56	6172
9	56	5631
10	57	5184
11	58	4809
12	59	4499
13	59	4221
14	60	3997
15	61	3785
16	62	3606
17	63	3437
18	63	3285
19	64	3152
20	65	3030
21	65	2920
22	66	2819
23	67	2727
24	67	2641
25	68	2564
26	69	2491
27	69	2427
28	70	2369
29	71	2312
30	72	2258
31	72	2206
32	73	2157
33	74	2114
34	75	2072
35	75	2031
36	76	1996
37	77	1961
38	78	1926
39	78	1895
40	79	1865
41	80	1837
42	81	1808
43	81	1780
44	82	1750
45	83	1724
46	83	1694
47	83	1664
48	84	1643
49	85	1624
50	86	1605
51	86	1585
52	87	1566
53	88	1550
54	89	1533
55	89	1514
56	90	1497
57	91	1482
58	92	1468
59	92	1455
60	93	1437
61	93	1421
62	94	1407
63	95	1393
64	95	1380
65	96	1367
66	97	1353
67	97	1336
68	98	1324
69	98	1313
70	99	1300
71	100	1289
72	100	1276
73	101	1266
74	101	1254
75	102	1242
76	102	1232
77	103	1221
78	103	1210
79	104	1199
80	104	1188
81	105	1178
82	105	1167
83	106	1157
84	106	1146
85	106	1136
86	107	1124
87	107	1114
88	108	1105
89	108	1096
90	108	1086
91	109	1077
92	109	1068
93	109	1060
94	110	1051
95	110	1042
96	111	1034
97	111	1025
98	111	1017
99	112	1009
100	112	1001
101	112	991
102	112	983
103	113	975
104	113	968
105	113	960
106	114	952
107	114	945
108	114	937
109	115	930
110	115	923
111	115	916
112	115	909
113	116	902
114	116	895
115	116	888
116	116	882
117	117	875
118	117	868
119	117	862
120	117	856
121	118	849
122	118	842
123	118	836
124	118	830
125	118	825
126	119	819
127	119	812
128	119	807
129	119	801
130	120	796
131	120	790
132	120	785
133	120	780
134	120	775
135	121	769
136	121	764
137	121	759
138	121	754
139	122	750
140	122	745
141	122	740
142	122	735
143	123	731
144	123	726
145	123	722
146	123	718
147	124	714
148	124	710
149	124	705
150	124	701
151	125	697
152	125	693
153	125	689
154	125	685
155	126	681
156	126	677
157	126	674
158	126	670
159	126	666
160	127	662
161	127	659
162	127	655
163	127	652
164	128	648
165	128	645
166	128	641
167	128	638
168	129	635
169	129	631
170	129	628
171	129	625
172	130	621
173	130	618
174	130	615
175	130	612
176	131	609
177	131	606
178	131	603
179	131	600
180	131	596
181	132	593
182	132	591
183	132	588
184	132	585
185	133	582
186	133	579
187	133	577
188	133	574
189	134	571
190	134	569
191	134	566
192	134	563
193	135	561
194	135	558
195	135	556
196	135	553
197	136	551
198	136	548
199	136	546
200	136	543
201	136	541
202	137	538
203	137	536
204	137	534
205	137	531
206	138	529
207	138	527
208	138	524
209	138	522
210	139	520
211	139	518
212	139	516
213	139	513
214	140	511
215	140	509
216	140	507
217	140	505
218	141	503
219	141	501
220	141	499
221	141	497
222	142	495
223	142	493
224	142	491
225	142	489
226	143	487
227	143	485
228	143	483
229	143	481
230	144	479
231	144	477
232	144	475
233	144	473
234	145	472
235	145	470
236	145	468
237	145	466
238	145	464
239	146	463
240	146	461
241	146	459
242	146	457
243	147	456
244	147	454
245	147	452
246	147	451
247	148	449
248	148	447
249	148	446
250	149	445
251	149	443
252	149	441
253	149	440
254	150	438
255	150	437
256	150	435
257	150	434
258	151	432
259	151	431
260	151	429
261	151	428
262	152	426
263	152	425
264	152	423
265	153	422
266	153	420
267	153	419
268	153	418
269	154	416
270	154	415
271	154	413
272	154	412
273	155	411
274	155	409
275	155	408
276	155	407
277	156	405
278	156	404
279	156	402
280	156	401
281	157	400
282	157	398
283	157	397
284	157	396
285	158	394
286	158	393
287	158	392
288	158	390
289	159	389
290	159	388
291	159	387
292	159	385
293	160	384
294	160	383
295	160	381
296	160	380
297	161	379
298	161	378
299	161	377
300	161	375
301	162	374
302	162	373
303	162	372
304	162	371
305	163	369
306	163	368
307	163	367
308	163	366
309	164	365
310	164	363
311	164	362
312	164	361
313	164	360
314	165	359
315	165	358
316	165	356
317	165	355
318	166	354
319	166	353
320	166	352
321	166	351
322	167	350
323	167	348
324	167	347
325	167	346
326	167	345
327	168	344
328	168	343
329	168	342
330	168	341
331	169	340
332	169	339
333	169	338
334	169	337
335	170	336
336	170	335
337	170	334
338	170	333
339	171	332
340	171	331
341	171	330
342	171	329
343	172	328
344	172	327
345	172	326
346	172	325
347	173	324
348	173	323
349	173	322
350	173	321
351	174	320
352	174	319
353	174	318
354	174	317
355	175	316
356	175	315
357	175	314
358	175	313
359	175	312
360	176	311
361	176	310
362	176	309
363	176	308
364	177	308
365	177	307
366	177	306
367	177	305
368	177	304
369	178	303
370	178	302
371	178	301
372	178	300
373	179	299
374	179	298
375	179	298
376	179	297
377	180	296
378	180	295
379	180	294
380	180	293
381	181	292
382	181	292
383	181	291
384	181	290
385	181	289
386	182	288
387	182	287
388	182	286
389	182	286
390	183	285
391	183	284
392	183	283
